Data Type,Region,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
SWH,Southern Mid-Atlantic Bight,1,5,2,3,1,4,1,1,1,4,7,2,5,4,3,1,2,2,1,5,3,3,2,3,4,2,1,2,7,0,1,1,3,5,2,3,2,4,1,2,4,2,1,0,4,1,3,3,2,5,3,5,1,3,4,3,3,6,4,3,4,4,
SWH,Northern Mid-Atlantic Bight,8,9,7,7,4,7,3,4,5,6,8,4,4,5,6,6,5,8,6,6,6,7,5,4,6,2,6,8,8,2,4,4,3,7,8,6,4,6,6,5,7,6,5,5,6,6,5,4,7,11,11,13,8,6,5,8,3,12,8,8,8,10,
SWH,Georges Bank,12,10,13,9,9,11,4,6,8,8,9,9,5,7,7,7,9,12,7,8,11,12,10,8,10,6,8,11,8,9,6,6,7,10,9,12,9,14,12,7,10,10,6,10,9,14,7,9,10,13,13,12,12,8,9,9,5,10,11,12,13,11,
SWH,Western Gulf of Maine,6,7,7,7,4,7,3,4,4,3,5,3,1,3,7,3,3,4,4,6,5,8,6,3,8,1,4,5,5,2,3,3,5,6,8,6,5,6,9,5,11,7,4,4,6,1,6,3,8,6,6,8,3,5,5,6,3,6,5,7,9,9,
SWH,Eastern Gulf of Maine,11,10,9,10,8,9,3,4,4,7,8,6,4,6,9,11,7,10,6,8,11,9,8,7,10,6,6,10,6,7,6,9,6,10,9,10,7,11,13,7,10,7,5,11,9,11,9,7,9,11,9,11,10,7,7,8,5,12,7,10,13,12,
Gale,Southern Mid-Atlantic Bight,1,4,3,3,1,4,0,1,2,2,5,1,6,2,0,1,2,2,0,5,2,2,2,1,2,0,2,1,5,0,3,1,1,4,3,1,2,4,1,2,1,0,0,0,3,1,2,3,3,5,0,3,1,1,3,3,2,3,2,3,2,4,0
Gale,Northern Mid-Atlantic Bight,2,4,2,4,3,5,1,4,4,5,5,3,4,3,5,4,2,8,4,6,3,5,5,2,5,2,2,3,7,2,3,3,2,4,4,2,3,6,6,3,5,2,2,2,3,3,4,4,3,9,5,6,5,3,4,5,3,5,5,5,6,8,2
Gale,Georges Bank,8,9,6,5,6,5,2,4,5,3,3,5,2,5,7,3,5,6,4,5,6,8,6,3,9,4,3,6,4,5,2,3,2,6,6,6,5,4,10,5,9,4,4,4,4,9,5,5,5,10,9,10,5,2,5,6,4,8,7,5,9,6,4
Gale,Western Gulf of Maine,4,8,5,4,2,4,1,3,3,2,3,2,3,2,6,4,2,3,3,5,5,8,4,2,7,1,2,3,5,2,1,3,3,3,3,7,5,7,6,1,7,5,3,1,2,1,6,2,6,6,3,7,3,5,4,4,2,4,4,7,5,7,3
Gale,Eastern Gulf of Maine,5,10,5,8,5,5,1,2,3,2,3,2,2,3,7,6,5,4,4,6,6,5,7,2,9,4,3,6,4,4,3,1,4,5,9,6,8,7,12,4,8,9,4,5,6,8,5,6,6,7,6,8,6,6,6,9,4,8,5,7,8,6,4
